subscribers,category
245000000,Music
170000000,Film & Animation
166000000,Entertainment
162000000,Education
159000000,Shows
119000000,nan
112000000,People & Blogs
111000000,Gaming
106000000,People & Blogs
98900000,Entertainment
96700000,Music
96000000,Sports
93600000,nan
89800000,People & Blogs
86900000,Film & Animation
83000000,Shows
80100000,Howto & Style
75600000,Music
75000000,nan
71600000,Music
71300000,Music
70500000,Entertainment
68200000,Education
66500000,Music
65900000,Education
65600000,Music
64600000,Shows
61000000,Music
59500000,Sports
59500000,Film & Animation
59300000,Music
58400000,Music
58000000,Music
57600000,News & Politics
57200000,Music
56900000,Music
56400000,Entertainment
54600000,Film & Animation
54000000,Music
53500000,Music
53300000,Education
52900000,Music
52700000,Music
52200000,Education
48100000,Gaming
47900000,Music
47500000,Entertainment
47400000,Entertainment
46800000,Entertainment
46600000,Music
46300000,Gaming
46100000,Music
46100000,Gaming
45500000,Entertainment
45200000,Entertainment
44700000,Entertainment
44600000,Entertainment
44500000,Howto & Style
44200000,Music
44200000,Comedy
44200000,People & Blogs
43700000,Music
43600000,Entertainment
43500000,People & Blogs
43200000,Film & Animation
43200000,Entertainment
42500000,Music
42400000,Shows
42400000,Entertainment
41900000,Entertainment
41400000,Trailers
41300000,People & Blogs
40900000,Education
40600000,Comedy
40400000,Gaming
40300000,Entertainment
39700000,People & Blogs
39400000,People & Blogs
39200000,Comedy
39200000,Music
39200000,Education
39100000,Gaming
39000000,Entertainment
38900000,Music
38600000,Nonprofits & Activism
38400000,People & Blogs
38300000,Music
38200000,Music
38200000,Entertainment
38200000,Shows
38000000,Music
37900000,nan
37600000,Entertainment
37500000,Entertainment
37200000,Comedy
37000000,People & Blogs
37000000,People & Blogs
36700000,Music
36600000,Music
36600000,Trailers
36500000,Film & Animation
36300000,News & Politics
36300000,nan
36200000,Music
36100000,Gaming
35700000,Music
35500000,Entertainment
35500000,News & Politics
35400000,Music
35400000,Gaming
35200000,Gaming
35200000,Entertainment
34900000,Education
34600000,Music
34400000,Gaming
34300000,Music
34100000,Music
34000000,Entertainment
34000000,Film & Animation
33800000,Gaming
33800000,Film & Animation
33700000,Gaming
33700000,Music
33600000,Film & Animation
33500000,Music
33500000,Entertainment
33500000,Comedy
33400000,Music
33400000,Education
33300000,People & Blogs
32800000,Education
32700000,Entertainment
32700000,nan
32700000,Music
32600000,Music
32200000,Film & Animation
32100000,Music
32100000,Shows
32100000,Gaming
32000000,Entertainment
31900000,Music
31900000,Entertainment
31800000,Howto & Style
31700000,Science & Technology
31700000,Music
31700000,Entertainment
31700000,Gaming
