Country,highest_monthly_earnings
India,9000000
United States,0.05
United States,5400000
United States,7900000
India,7300000
nan,0
United States,2900000
Japan,156700
Russia,195800
United States,2300000
India,3200000
United States,2900000
nan,0
South Korea,2000000
nan,0.07
India,6600000
United Kingdom,0
South Korea,673200
United States,0.06
Canada,705300
South Korea,2400000
India,6800000
United States,1900000
Brazil,0
India,1700000
India,1000000
India,4800000
India,0.04
United States,564800
United States,458700
India,1700000
Argentina,2400000
India,928100
India,1800000
India,1000000
United States,1000000
United States,448400
India,2000000
nan,0.64
United Kingdom,810900
India,3300000
United States,2100000
United States,640900
United States,1100000
Chile,265600
United States,587400
Russia,1200000
India,931000
nan,2
United States,1300000
Cuba,0.38
nan,0
El Salvador,135400
India,936000
Brazil,521400
Brazil,192100
Pakistan,5300000
nan,0
United States,537000
Brazil,106700
Philippines,706500
Thailand,0.09
nan,0.02
Colombia,1400000
Russia,1200000
Pakistan,4600000
India,639000
United States,2700000
United States,212800
Barbados,731700
India,723800
Mexico,547000
United States,395100
Mexico,0
nan,23100
nan,0.02
United Arab Emirates,990900
nan,0.01
India,314800
United States,233400
Canada,2200000
Spain,1100000
Thailand,521800
Brazil,6500000
United States,182600
Saudi Arabia,6400
India,3300000
United States,25
United States,87200
India,1700000
United States,822400
United States,976400
United States,1300000
Thailand,563000
India,199400
India,1100000
Brazil,1000000
United States,701000
United States,611300
India,0
nan,1300000
United States,84400
nan,0
nan,677000
nan,0.13
Argentina,1200000
India,2100000
India,1200000
India,1300000
nan,0.21
United States,509300
United States,954500
United States,1300000
nan,0
nan,0.34
India,405400
Colombia,514800
Indonesia,2200000
India,719600
Spain,156400
Brazil,1600000
United States,843800
nan,0
United States,463200
India,1100000
Thailand,0
India,98900
United Kingdom,222600
India,544300
Indonesia,628400
United States,510000
India,81100
Turkey,5900000
United States,1300000
Canada,1500000
nan,0
Colombia,1900000
United Kingdom,226100
Brazil,178000
India,6700000
nan,933600
Philippines,3200000
Mexico,125800
India,436500
India,450600
United States,613100
United States,108100
United States,1200000
United States,420500
nan,0
